nm,n,k,
3626.473255,1.470761,0.00020587,
3627.130939,1.470734,0.000204271,
3627.788863,1.470706,0.000202722,
3628.447025,1.470679,0.000201223,
3629.105426,1.470652,0.000199772,
3629.764065,1.470625,0.000198369,
3630.422944,1.470598,0.000197012,
3631.082062,1.470571,0.000195702,
3631.74142,1.470545,0.000194435,
3632.401017,1.470518,0.000193211,
3633.060854,1.470492,0.00019203,
3633.72093,1.470466,0.00019089,
3634.381247,1.47044,0.000189791,
3635.041803,1.470414,0.000188731,
3635.7026,1.470388,0.00018771,
3636.363636,1.470362,0.000186726,
3637.024914,1.470337,0.000185779,
3637.686431,1.470312,0.000184868,
3638.34819,1.470287,0.000183991,
3639.010189,1.470262,0.000183149,
3639.672429,1.470237,0.00018234,
3640.334911,1.470212,0.000181563,
3640.997633,1.470187,0.000180819,
3641.660597,1.470163,0.000180105,
3642.323803,1.470138,0.000179421,
3642.98725,1.470114,0.000178767,
3643.650938,1.47009,0.000178142,
3644.314869,1.470066,0.000177545,
3644.979041,1.470042,0.000176975,
3645.643456,1.470018,0.000176432,
3646.308113,1.469995,0.000175914,
3646.973012,1.469971,0.000175423,
3647.638154,1.469948,0.000174956,
3648.303539,1.469924,0.000174513,
3648.969166,1.469901,0.000174094,
3649.635036,1.469878,0.000173697,
3650.30115,1.469855,0.000173323,
3650.967506,1.469832,0.000172971,
3651.634106,1.469809,0.000172641,
3652.30095,1.469787,0.000172331,
3652.968037,1.469764,0.000172041,
3653.635367,1.469742,0.00017177,
3654.302942,1.469719,0.000171519,
3654.97076,1.469697,0.000171287,
3655.638823,1.469675,0.000171073,
3656.30713,1.469653,0.000170877,
3656.975681,1.469631,0.000170698,
3657.644477,1.469609,0.000170536,
3658.313517,1.469588,0.00017039,
3658.982803,1.469566,0.00017026,
3659.652333,1.469545,0.000170146,
3660.322108,1.469523,0.000170047,
3660.992129,1.469502,0.000169963,
3661.662395,1.469481,0.000169893,
3662.332906,1.469459,0.000169838,
3663.003663,1.469438,0.000169796,
3663.674666,1.469417,0.000169767,
3664.345914,1.469397,0.000169751,
3665.017409,1.469376,0.000169748,
3665.68915,1.469355,0.000169757,
3666.361137,1.469334,0.000169779,
3667.03337,1.469314,0.000169811,
3667.70585,1.469294,0.000169856,
3668.378577,1.469273,0.000169911,
3669.05155,1.469253,0.000169977,
3669.724771,1.469233,0.000170053,
3670.398238,1.469213,0.00017014,
3671.071953,1.469193,0.000170237,
3671.745915,1.469173,0.000170343,
3672.420125,1.469153,0.000170459,
3673.094582,1.469133,0.000170583,
3673.769287,1.469114,0.000170717,
3674.44424,1.469094,0.00017086,
3675.119441,1.469074,0.000171011,
3675.794891,1.469055,0.00017117,
3676.470588,1.469036,0.000171337,
3677.146534,1.469016,0.000171512,
3677.822729,1.468997,0.000171694,
3678.499172,1.468978,0.000171884,
3679.175865,1.468959,0.000172081,
3679.852806,1.46894,0.000172285,
3680.529996,1.468921,0.000172496,
3681.207436,1.468902,0.000172714,
3681.885125,1.468883,0.000172938,
3682.563064,1.468865,0.000173168,
3683.241252,1.468846,0.000173404,
3683.919691,1.468827,0.000173647,
3684.598379,1.468809,0.000173895,
3685.277317,1.46879,0.000174149,
3685.956506,1.468772,0.000174408,
3686.635945,1.468754,0.000174672,
3687.315634,1.468735,0.000174942,
3687.995574,1.468717,0.000175217,
3688.675765,1.468699,0.000175497,
3689.356207,1.468681,0.000175782,
3690.0369,1.468663,0.000176071,
3690.717845,1.468645,0.000176365,
3691.39904,1.468627,0.000176664,
3692.080487,1.468609,0.000176966,
3692.762186,1.468592,0.000177273,
3693.444137,1.468574,0.000177584,
3694.126339,1.468556,0.000177899,
3694.808794,1.468539,0.000178218,
3695.4915,1.468521,0.000178541,
3696.174459,1.468504,0.000178868,
3696.857671,1.468486,0.000179198,
3697.541135,1.468469,0.000179531,
3698.224852,1.468452,0.000179868,
3698.908822,1.468435,0.000180209,
3699.593045,1.468417,0.000180552,
3700.277521,1.4684,0.000180899,
3700.96225,1.468383,0.000181249,
3701.647233,1.468366,0.000181602,
3702.332469,1.468349,0.000181958,
3703.01796,1.468332,0.000182317,
3703.703704,1.468315,0.000182679,
3704.389702,1.468299,0.000183043,
3705.075954,1.468282,0.00018341,
3705.762461,1.468265,0.00018378,
3706.449222,1.468249,0.000184152,
3707.136237,1.468232,0.000184527,
3707.823508,1.468215,0.000184904,
3708.511033,1.468199,0.000185284,
3709.198813,1.468182,0.000185666,
3709.886848,1.468166,0.00018605,
3710.575139,1.46815,0.000186437,
3711.263685,1.468133,0.000186825,
3711.952487,1.468117,0.000187216,
3712.641544,1.468101,0.000187609,
3713.330858,1.468085,0.000188004,
3714.020427,1.468069,0.000188401,
3714.710253,1.468052,0.0001888,
3715.400334,1.468036,0.000189201,
3716.090673,1.46802,0.000189603,
3716.781267,1.468004,0.000190008,
3717.472119,1.467989,0.000190414,
3718.163227,1.467973,0.000190822,
3718.854593,1.467957,0.000191232,
3719.546215,1.467941,0.000191644,
3720.238095,1.467925,0.000192057,
3720.930233,1.46791,0.000192472,
3721.622627,1.467894,0.000192888,
3722.31528,1.467878,0.000193306,
3723.008191,1.467863,0.000193726,
3723.701359,1.467847,0.000194147,
3724.394786,1.467832,0.00019457,
3725.088471,1.467816,0.000194994,
3725.782414,1.467801,0.000195419,
3726.476616,1.467786,0.000195846,
3727.171077,1.46777,0.000196275,
3727.865797,1.467755,0.000196704,
3728.560776,1.46774,0.000197135,
3729.256013,1.467724,0.000197568,
3729.951511,1.467709,0.000198002,
3730.647267,1.467694,0.000198437,
3731.343284,1.467679,0.000198873,
3732.03956,1.467664,0.00019931,
3732.736096,1.467649,0.000199749,
3733.432892,1.467634,0.000200189,
3734.129948,1.467619,0.000200631,
3734.827264,1.467604,0.000201073,
3735.524841,1.467589,0.000201517,
3736.222679,1.467574,0.000201961,
3736.920777,1.467559,0.000202407,
3737.619137,1.467545,0.000202854,
3738.317757,1.46753,0.000203303,
3739.016639,1.467515,0.000203752,
3739.715782,1.4675,0.000204202,
3740.415186,1.467486,0.000204654,
3741.114852,1.467471,0.000205106,
3741.81478,1.467457,0.00020556,
3742.51497,1.467442,0.000206015,
3743.215422,1.467428,0.00020647,
3743.916136,1.467413,0.000206927,
3744.617113,1.467399,0.000207385,
3745.318352,1.467384,0.000207844,
3746.019854,1.46737,0.000208304,
3746.721619,1.467355,0.000208764,
3747.423646,1.467341,0.000209226,
3748.125937,1.467327,0.000209689,
3748.828491,1.467312,0.000210153,
3749.531309,1.467298,0.000210618,
3750.23439,1.467284,0.000211083,
3750.937734,1.46727,0.00021155,
3751.641343,1.467256,0.000212018,
3752.345216,1.467242,0.000212486,
3753.049353,1.467227,0.000212955,
3753.753754,1.467213,0.000213426,
3754.458419,1.467199,0.000213897,
3755.16335,1.467185,0.000214369,
3755.868545,1.467171,0.000214842,
3756.574005,1.467157,0.000215317,
3757.279729,1.467143,0.000215792,
3757.98572,1.467129,0.000216267,
3758.691975,1.467116,0.000216744,
3759.398496,1.467102,0.000217222,
3760.105283,1.467088,0.000217701,
3760.812335,1.467074,0.00021818,
3761.519654,1.46706,0.00021866,
3762.227239,1.467047,0.000219141,
3762.935089,1.467033,0.000219623,
3763.643207,1.467019,0.000220106,
3764.35159,1.467005,0.00022059,
3765.060241,1.466992,0.000221075,
3765.769158,1.466978,0.00022156,
3766.478343,1.466965,0.000222047,
3767.187794,1.466951,0.000222534,
3767.897513,1.466938,0.000223022,
3768.6075,1.466924,0.000223511,
3769.317753,1.46691,0.000224001,
3770.028275,1.466897,0.000224491,
3770.739065,1.466884,0.000224983,
3771.450123,1.46687,0.000225475,
3772.161449,1.466857,0.000225968,
3772.873043,1.466843,0.000226462,
3773.584906,1.46683,0.000226957,
3774.297037,1.466817,0.000227453,
3775.009438,1.466803,0.000227949,
3775.722107,1.46679,0.000228447,
3776.435045,1.466777,0.000228945,
3777.148253,1.466764,0.000229444,
3777.86173,1.46675,0.000229944,
3778.575477,1.466737,0.000230444,
3779.289494,1.466724,0.000230946,
3780.00378,1.466711,0.000231448,
3780.718336,1.466698,0.000231951,
3781.433163,1.466685,0.000232455,
3782.14826,1.466671,0.00023296,
3782.863628,1.466658,0.000233466,
3783.579266,1.466645,0.000233972,
3784.295175,1.466632,0.000234479,
3785.011355,1.466619,0.000234987,
3785.727806,1.466606,0.000235496,
3786.444529,1.466593,0.000236006,
3787.161522,1.46658,0.000236516,
3787.878788,1.466567,0.000237028,
3788.596325,1.466554,0.00023754,
3789.314134,1.466542,0.000238053,
3790.032215,1.466529,0.000238567,
3790.750569,1.466516,0.000239081,
3791.469194,1.466503,0.000239597,
3792.188093,1.46649,0.000240113,
3792.907263,1.466477,0.00024063,
3793.626707,1.466465,0.000241148,
3794.346424,1.466452,0.000241667,
3795.066414,1.466439,0.000242186,
3795.786677,1.466426,0.000242706,
3796.507213,1.466414,0.000243227,
3797.228024,1.466401,0.000243749,
3797.949107,1.466388,0.000244272,
3798.670465,1.466376,0.000244796,
3799.392097,1.466363,0.00024532,
3800.114003,1.46635,0.000245845,
3800.836184,1.466338,0.000246371,
3801.558639,1.466325,0.000246898,
3802.281369,1.466313,0.000247425,
3803.004373,1.4663,0.000247954,
3803.727653,1.466288,0.000248483,
3804.451208,1.466275,0.000249013,
3805.175038,1.466263,0.000249544,
3805.899144,1.46625,0.000250076,
3806.623525,1.466238,0.000250608,
3807.348182,1.466225,0.000251141,
3808.073115,1.466213,0.000251676,
3808.798324,1.4662,0.000252211,
3809.52381,1.466188,0.000252746,
3810.249571,1.466176,0.000253283,
3810.97561,1.466163,0.00025382,
3811.701925,1.466151,0.000254358,
3812.428517,1.466139,0.000254897,
3813.155386,1.466126,0.000255437,
3813.882532,1.466114,0.000255978,
3814.609956,1.466102,0.000256519,
3815.337657,1.466089,0.000257061,
3816.065636,1.466077,0.000257604,
3816.793893,1.466065,0.000258148,
3817.522428,1.466053,0.000258693,
3818.251241,1.46604,0.000259238,
3818.980332,1.466028,0.000259785,
3819.709702,1.466016,0.000260332,
3820.439351,1.466004,0.00026088,
3821.169278,1.465992,0.000261428,
3821.899484,1.465979,0.000261978,
3822.629969,1.465967,0.000262528,
3823.360734,1.465955,0.000263079,
3824.091778,1.465943,0.000263631,
3824.823102,1.465931,0.000264184,
3825.554705,1.465919,0.000264738,
3826.286589,1.465907,0.000265292,
3827.018752,1.465895,0.000265847,
3827.751196,1.465883,0.000266403,
3828.48392,1.465871,0.00026696,
3829.216925,1.465859,0.000267518,
3829.950211,1.465847,0.000268077,
3830.683777,1.465835,0.000268636,
3831.417625,1.465823,0.000269196,
3832.151753,1.465811,0.000269757,
3832.886163,1.465799,0.000270319,
3833.620855,1.465787,0.000270881,
3834.355828,1.465775,0.000271445,
3835.091083,1.465763,0.000272009,
3835.826621,1.465751,0.000272574,
3836.56244,1.465739,0.00027314,
3837.298542,1.465727,0.000273706,
3838.034926,1.465716,0.000274274,
3838.771593,1.465704,0.000274842,
3839.508543,1.465692,0.000275411,
3840.245776,1.46568,0.000275981,
3840.983292,1.465668,0.000276552,
3841.721091,1.465656,0.000277124,
3842.459174,1.465645,0.000277696,
3843.19754,1.465633,0.000278269,
3843.936191,1.465621,0.000278843,
3844.675125,1.465609,0.000279418,
3845.414343,1.465598,0.000279994,
3846.153846,1.465586,0.00028057,
3846.893633,1.465574,0.000281148,
3847.633705,1.465562,0.000281726,
3848.374062,1.465551,0.000282305,
3849.114704,1.465539,0.000282885,
3849.85563,1.465527,0.000283465,
3850.596843,1.465516,0.000284047,
3851.33834,1.465504,0.000284629,
3852.080123,1.465492,0.000285212,
3852.822192,1.465481,0.000285796,
3853.564547,1.465469,0.00028638,
3854.307188,1.465458,0.000286966,
3855.050116,1.465446,0.000287552,
3855.793329,1.465434,0.000288139,
3856.53683,1.465423,0.000288727,
3857.280617,1.465411,0.000289316,
3858.024691,1.4654,0.000289906,
3858.769053,1.465388,0.000290496,
3859.513701,1.465376,0.000291087,
3860.258637,1.465365,0.00029168,
3861.003861,1.465353,0.000292273,
3861.749372,1.465342,0.000292866,
3862.495172,1.46533,0.000293461,
3863.241259,1.465319,0.000294056,
3863.987635,1.465307,0.000294652,
3864.7343,1.465296,0.000295249,
3865.481252,1.465284,0.000295847,
3866.228494,1.465273,0.000296446,
3866.976025,1.465261,0.000297046,
3867.723845,1.46525,0.000297646,
3868.471954,1.465239,0.000298247,
3869.220352,1.465227,0.000298849,
3869.96904,1.465216,0.000299452,
3870.718018,1.465204,0.000300055,
3871.467286,1.465193,0.00030066,
3872.216844,1.465181,0.000301265,
3872.966692,1.46517,0.000301871,
3873.716831,1.465159,0.000302478,
3874.467261,1.465147,0.000303086,
3875.217981,1.465136,0.000303694,
3875.968992,1.465125,0.000304304,
3876.720295,1.465113,0.000304914,
3877.471888,1.465102,0.000305525,
3878.223774,1.465091,0.000306137,
3878.97595,1.465079,0.000306749,
3879.728419,1.465068,0.000307363,
3880.48118,1.465057,0.000307977,
3881.234232,1.465045,0.000308593,
3881.987578,1.465034,0.000309208,
3882.741215,1.465023,0.000309825,
3883.495146,1.465011,0.000310443,
3884.249369,1.465,0.000311061,
3885.003885,1.464989,0.000311681,
3885.758694,1.464978,0.000312301,
3886.513797,1.464966,0.000312922,
3887.269193,1.464955,0.000313543,
3888.024883,1.464944,0.000314166,
3888.780867,1.464933,0.000314789,
3889.537145,1.464921,0.000315414,
3890.293717,1.46491,0.000316039,
3891.050584,1.464899,0.000316664,
3891.807745,1.464888,0.000317291,
3892.5652,1.464877,0.000317919,
3893.322951,1.464865,0.000318547,
3894.080997,1.464854,0.000319176,
3894.839338,1.464843,0.000319807,
3895.597974,1.464832,0.000320437,
3896.356906,1.464821,0.000321069,
3897.116134,1.46481,0.000321701,
3897.875658,1.464798,0.000322335,
3898.635478,1.464787,0.000322969,
3899.395594,1.464776,0.000323604,
3900.156006,1.464765,0.000324239,
3900.916715,1.464754,0.000324876,
3901.677721,1.464743,0.000325514,
3902.439024,1.464732,0.000326152,
3903.200625,1.46472,0.000326791,
3903.962522,1.464709,0.000327431,
3904.724717,1.464698,0.000328072,
3905.48721,1.464687,0.000328713,
3906.25,1.464676,0.000329356,
3907.013088,1.464665,0.000329999,
3907.776475,1.464654,0.000330643,
3908.54016,1.464643,0.000331288,
3909.304144,1.464632,0.000331934,
3910.068426,1.464621,0.00033258,
3910.833007,1.46461,0.000333227,
3911.597888,1.464599,0.000333876,
3912.363067,1.464588,0.000334524,
3913.128546,1.464577,0.000335174,
3913.894325,1.464565,0.000335825,
3914.660403,1.464554,0.000336476,
3915.426782,1.464543,0.000337129,
3916.19346,1.464532,0.000337782,
3916.960439,1.464521,0.000338436,
3917.727718,1.46451,0.00033909,
3918.495298,1.464499,0.000339746,
3919.263179,1.464488,0.000340402,
3920.03136,1.464477,0.000341059,
3920.799843,1.464466,0.000341718,
3921.568627,1.464455,0.000342377,
3922.337713,1.464444,0.000343036,
3923.107101,1.464433,0.000343697,
3923.87679,1.464422,0.000344358,
3924.646782,1.464411,0.00034502,
3925.417076,1.464401,0.000345683,
3926.187672,1.46439,0.000346347,
3926.958571,1.464379,0.000347012,
3927.729772,1.464368,0.000347677,
3928.501277,1.464357,0.000348343,
3929.273084,1.464346,0.00034901,
3930.045196,1.464335,0.000349678,
3930.81761,1.464324,0.000350347,
3931.590328,1.464313,0.000351017,
3932.36335,1.464302,0.000351687,
3933.136676,1.464291,0.000352358,
3933.910307,1.46428,0.00035303,
3934.684242,1.464269,0.000353703,
3935.458481,1.464258,0.000354377,
3936.233025,1.464247,0.000355051,
3937.007874,1.464237,0.000355726,
3937.783028,1.464226,0.000356403,
3938.558488,1.464215,0.00035708,
3939.334253,1.464204,0.000357757,
3940.110323,1.464193,0.000358436,
3940.8867,1.464182,0.000359115,
3941.663382,1.464171,0.000359795,
3942.440371,1.46416,0.000360476,
3943.217666,1.464149,0.000361158,
3943.995267,1.464139,0.000361841,
3944.773176,1.464128,0.000362525,
3945.551391,1.464117,0.000363209,
3946.329913,1.464106,0.000363894,
3947.108743,1.464095,0.00036458,
3947.88788,1.464084,0.000365267,
3948.667325,1.464073,0.000365954,
3949.447077,1.464062,0.000366643,
3950.227138,1.464052,0.000367332,
3951.007507,1.464041,0.000368022,
3951.788184,1.46403,0.000368713,
3952.56917,1.464019,0.000369404,
3953.350465,1.464008,0.000370097,
3954.132068,1.463997,0.00037079,
3954.913981,1.463987,0.000371484,
3955.696203,1.463976,0.000372179,
3956.478734,1.463965,0.000372875,
3957.261575,1.463954,0.000373572,
3958.044726,1.463943,0.000374269,
3958.828187,1.463932,0.000374967,
3959.611958,1.463922,0.000375666,
3960.39604,1.463911,0.000376366,
3961.180432,1.4639,0.000377067,
3961.965135,1.463889,0.000377768,
3962.750149,1.463878,0.00037847,
3963.535474,1.463868,0.000379173,
3964.32111,1.463857,0.000379877,
3965.107058,1.463846,0.000380582,
3965.893317,1.463835,0.000381287,
3966.679889,1.463824,0.000381994,
3967.466772,1.463814,0.000382701,
3968.253968,1.463803,0.000383408,
3969.041476,1.463792,0.000384117,
3969.829297,1.463781,0.000384827,
3970.617431,1.46377,0.000385537,
3971.405878,1.46376,0.000386248,
3972.194638,1.463749,0.00038696,
3972.983711,1.463738,0.000387673,
3973.773098,1.463727,0.000388386,
3974.562798,1.463716,0.000389101,
3975.352813,1.463706,0.000389816,
3976.143141,1.463695,0.000390532,
3976.933784,1.463684,0.000391249,
3977.724741,1.463673,0.000391966,
3978.516014,1.463663,0.000392685,
3979.3076,1.463652,0.000393404,
3980.099502,1.463641,0.000394124,
3980.89172,1.46363,0.000394845,
3981.684252,1.463619,0.000395567,
3982.477101,1.463609,0.000396289,
3983.270265,1.463598,0.000397012,
3984.063745,1.463587,0.000397736,
3984.857541,1.463576,0.000398461,
3985.651654,1.463566,0.000399187,
3986.446083,1.463555,0.000399913,
3987.240829,1.463544,0.00040064,
3988.035892,1.463533,0.000401368,
3988.831272,1.463523,0.000402097,
3989.62697,1.463512,0.000402827,
3990.422985,1.463501,0.000403557,
3991.219318,1.46349,0.000404288,
3992.015968,1.46348,0.00040502,
3992.812937,1.463469,0.000405753,
3993.610224,1.463458,0.000406487,
3994.407829,1.463447,0.000407221,
3995.205753,1.463437,0.000407957,
3996.003996,1.463426,0.000408692,
3996.802558,1.463415,0.000409429,
3997.601439,1.463404,0.000410167,
3998.40064,1.463394,0.000410905,
3999.20016,1.463383,0.000411644,
4000,1.463372,0.000412384,
4000.80016,1.463361,0.000413125,
4001.60064,1.463351,0.000413867,
4002.401441,1.46334,0.000414609,
4003.202562,1.463329,0.000415352,
4004.004004,1.463318,0.000416096,
4004.805767,1.463308,0.000416841,
4005.607851,1.463297,0.000417586,
4006.410256,1.463286,0.000418333,
4007.212983,1.463275,0.00041908,
4008.016032,1.463265,0.000419828,
4008.819403,1.463254,0.000420577,
4009.623095,1.463243,0.000421326,
4010.42711,1.463232,0.000422076,
4011.231448,1.463222,0.000422827,
4012.036108,1.463211,0.000423579,
4012.841091,1.4632,0.000424331,
4013.646398,1.463189,0.000425085,
4014.452027,1.463179,0.000425839,
4015.25798,1.463168,0.000426594,
4016.064257,1.463157,0.00042735,
4016.870858,1.463146,0.000428106,
4017.677782,1.463136,0.000428863,
4018.485031,1.463125,0.000429622,
4019.292605,1.463114,0.00043038,
4020.100503,1.463103,0.00043114,
4020.908725,1.463093,0.0004319,
4021.717273,1.463082,0.000432662,
4022.526146,1.463071,0.000433424,
4023.335345,1.46306,0.000434186,
4024.144869,1.46305,0.00043495,
4024.954719,1.463039,0.000435714,
4025.764895,1.463028,0.000436479,
4026.575398,1.463017,0.000437245,
4027.386226,1.463007,0.000438012,
4028.197382,1.462996,0.000438779,
4029.008864,1.462985,0.000439547,
4029.820673,1.462974,0.000440316,
4030.632809,1.462963,0.000441086,
4031.445273,1.462953,0.000441857,
4032.258065,1.462942,0.000442628,
4033.071184,1.462931,0.0004434,
4033.884631,1.46292,0.000444173,
4034.698406,1.46291,0.000444946,
4035.51251,1.462899,0.00044572,
4036.326942,1.462888,0.000446496,
4037.141704,1.462877,0.000447271,
4037.956794,1.462867,0.000448048,
4038.772213,1.462856,0.000448825,
4039.587962,1.462845,0.000449603,
4040.40404,1.462834,0.000450382,
4041.220449,1.462824,0.000451162,
4042.037187,1.462813,0.000451943,
4042.854255,1.462802,0.000452724,
4043.671654,1.462791,0.000453506,
4044.489383,1.46278,0.000454289,
4045.307443,1.46277,0.000455072,
4046.125835,1.462759,0.000455856,
4046.944557,1.462748,0.000456641,
4047.763611,1.462737,0.000457427,
4048.582996,1.462726,0.000458213,
4049.402713,1.462716,0.000459001,
4050.222762,1.462705,0.000459789,
4051.043144,1.462694,0.000460577,
4051.863857,1.462683,0.000461367,
4052.684904,1.462673,0.000462157,
4053.506283,1.462662,0.000462948,
4054.327995,1.462651,0.00046374,
4055.150041,1.46264,0.000464533,
4055.972419,1.462629,0.000465326,
4056.795132,1.462619,0.00046612,
4057.618178,1.462608,0.000466915,
4058.441558,1.462597,0.00046771,
4059.265273,1.462586,0.000468507,
4060.089322,1.462575,0.000469304,
4060.913706,1.462565,0.000470101,
4061.738424,1.462554,0.0004709,
4062.563478,1.462543,0.000471699,
4063.388866,1.462532,0.000472499,
4064.214591,1.462521,0.0004733,
4065.04065,1.46251,0.000474101,
4065.867046,1.4625,0.000474904,
4066.693778,1.462489,0.000475707,
4067.520846,1.462478,0.00047651,
4068.348251,1.462467,0.000477315,
4069.175992,1.462456,0.00047812,
4070.00407,1.462445,0.000478926,
4070.832485,1.462435,0.000479733,
4071.661238,1.462424,0.00048054,
4072.490328,1.462413,0.000481348,
4073.319756,1.462402,0.000482157,
4074.149521,1.462391,0.000482967,
4074.979625,1.46238,0.000483777,
4075.810067,1.46237,0.000484588,
4076.640848,1.462359,0.0004854,
4077.471967,1.462348,0.000486212,
4078.303426,1.462337,0.000487025,
4079.135223,1.462326,0.000487839,
4079.96736,1.462315,0.000488654,
4080.799837,1.462304,0.00048947,
4081.632653,1.462293,0.000490286,
4082.465809,1.462283,0.000491102,
4083.299306,1.462272,0.00049192,
4084.133143,1.462261,0.000492738,
4084.96732,1.46225,0.000493557,
4085.801839,1.462239,0.000494377,
4086.636698,1.462228,0.000495197,
4087.471899,1.462217,0.000496019,
4088.307441,1.462206,0.00049684,
4089.143324,1.462195,0.000497663,
4089.97955,1.462185,0.000498486,
4090.816118,1.462174,0.00049931,
4091.653028,1.462163,0.000500135,
4092.49028,1.462152,0.000500961,
4093.327876,1.462141,0.000501787,
4094.165814,1.46213,0.000502613,
4095.004095,1.462119,0.000503441,
4095.84272,1.462108,0.000504269,
4096.681688,1.462097,0.000505098,
4097.521,1.462086,0.000505928,
4098.360656,1.462075,0.000506758,
4099.200656,1.462064,0.00050759,
4100.041,1.462054,0.000508421,
4100.88169,1.462043,0.000509254,
4101.722724,1.462032,0.000510087,
4102.564103,1.462021,0.000510921,
4103.405827,1.46201,0.000511756,
4104.247897,1.461999,0.000512591,
4105.090312,1.461988,0.000513427,
4105.933073,1.461977,0.000514264,
4106.776181,1.461966,0.000515101,
4107.619634,1.461955,0.000515939,
4108.463435,1.461944,0.000516778,
4109.307582,1.461933,0.000517617,
4110.152076,1.461922,0.000518457,
4110.996917,1.461911,0.000519298,
4111.842105,1.4619,0.00052014,
4112.687641,1.461889,0.000520982,
4113.533525,1.461878,0.000521825,
4114.379757,1.461867,0.000522669,
4115.226337,1.461856,0.000523513,
4116.073266,1.461845,0.000524358,
4116.920543,1.461834,0.000525204,
4117.76817,1.461823,0.00052605,
4118.616145,1.461812,0.000526897,
4119.46447,1.461801,0.000527745,
4120.313144,1.46179,0.000528593,
4121.162168,1.461779,0.000529442,
4122.011542,1.461768,0.000530292,
4122.861266,1.461757,0.000531142,
4123.71134,1.461746,0.000531993,
4124.561765,1.461735,0.000532845,
4125.412541,1.461724,0.000533697,
4126.263668,1.461713,0.00053455,
4127.115147,1.461702,0.000535404,
4127.966976,1.46169,0.000536258,
4128.819158,1.461679,0.000537114,
4129.671691,1.461668,0.00053797,
4130.524577,1.461657,0.000538826,
4131.377815,1.461646,0.000539683,
4132.231405,1.461635,0.000540541,
4133.085348,1.461624,0.000541399,
4133.939644,1.461613,0.000542258,
4134.794294,1.461602,0.000543118,
4135.649297,1.461591,0.000543978,
4136.504654,1.46158,0.000544839,
4137.360364,1.461568,0.000545701,
4138.216429,1.461557,0.000546563,
4139.072848,1.461546,0.000547426,
4139.929621,1.461535,0.00054829,
4140.786749,1.461524,0.000549154,
4141.644233,1.461513,0.000550019,
4142.502071,1.461502,0.000550885,
4143.360265,1.46149,0.000551751,
4144.218815,1.461479,0.000552618,
4145.07772,1.461468,0.000553485,
4145.936982,1.461457,0.000554354,
4146.7966,1.461446,0.000555222,
4147.656574,1.461435,0.000556092,
4148.516905,1.461423,0.000556962,
4149.377593,1.461412,0.000557833,
4150.238639,1.461401,0.000558704,
4151.100042,1.46139,0.000559576,
4151.961802,1.461379,0.000560448,
4152.82392,1.461367,0.000561322,
4153.686397,1.461356,0.000562195,
4154.549231,1.461345,0.00056307,
4155.412425,1.461334,0.000563945,
4156.275977,1.461323,0.000564821,
4157.139888,1.461311,0.000565697,
4158.004158,1.4613,0.000566575,
4158.868788,1.461289,0.000567452,
4159.733777,1.461278,0.00056833,
4160.599126,1.461266,0.000569209,
4161.464836,1.461255,0.000570089,
4162.330905,1.461244,0.000570969,
4163.197336,1.461233,0.00057185,
4164.064127,1.461221,0.000572731,
4164.931279,1.46121,0.000573613,
4165.798792,1.461199,0.000574496,
4166.666667,1.461187,0.000575379,
4167.534903,1.461176,0.000576262,
4168.403501,1.461165,0.000577147,
4169.272462,1.461154,0.000578032,
4170.141785,1.461142,0.000578918,
4171.01147,1.461131,0.000579804,
4171.881519,1.46112,0.000580691,
4172.75193,1.461108,0.000581578,
4173.622705,1.461097,0.000582466,
4174.493843,1.461086,0.000583355,
4175.365344,1.461074,0.000584244,
4176.23721,1.461063,0.000585134,
4177.10944,1.461052,0.000586024,
4177.982035,1.46104,0.000586915,
4178.854994,1.461029,0.000587807,
4179.728318,1.461017,0.000588699,
4180.602007,1.461006,0.000589592,
4181.476061,1.460995,0.000590485,
4182.350481,1.460983,0.000591379,
4183.225267,1.460972,0.000592274,
4184.100418,1.46096,0.000593169,
4184.975936,1.460949,0.000594065,
4185.851821,1.460938,0.000594961,
4186.728072,1.460926,0.000595858,
4187.60469,1.460915,0.000596755,
4188.481675,1.460903,0.000597653,
4189.359028,1.460892,0.000598552,
4190.236748,1.46088,0.000599451,
4191.114837,1.460869,0.000600351,
4191.993293,1.460857,0.000601251,
4192.872117,1.460846,0.000602152,
4193.751311,1.460835,0.000603054,
4194.630872,1.460823,0.000603956,
4195.510803,1.460812,0.000604859,
4196.391104,1.4608,0.000605761,
4197.271773,1.460789,0.000606665,
4198.152813,1.460777,0.000607569,
4199.034222,1.460765,0.000608475,
4199.916002,1.460754,0.00060938,
4200.798152,1.460742,0.000610286,
4201.680672,1.460731,0.000611192,
4202.563564,1.460719,0.000612099,
4203.446826,1.460708,0.000613007,
4204.33046,1.460696,0.000613915,
4205.214466,1.460685,0.000614824,
4206.098843,1.460673,0.000615733,
4206.983593,1.460662,0.000616643,
4207.868714,1.46065,0.000617553,
4208.754209,1.460638,0.000618464,
4209.640076,1.460627,0.000619376,
4210.526316,1.460615,0.000620287,
4211.412929,1.460604,0.0006212,
4212.299916,1.460592,0.000622113,
4213.187276,1.46058,0.000623027,
4214.075011,1.460569,0.000623941,
4214.963119,1.460557,0.000624856,
4215.851602,1.460545,0.000625771,
4216.74046,1.460534,0.000626687,
4217.629692,1.460522,0.000627603,
4218.5193,1.46051,0.000628519,
4219.409283,1.460499,0.000629437,
4220.299641,1.460487,0.000630354,
