nm,n,k
4363.001745,3.417406179,2.67E-06
4366.812227,3.417404769,2.67E-06
4370.629371,3.417403361,2.67E-06
4374.453193,3.417401954,2.67E-06
4378.283713,3.417400548,2.67E-06
4382.120947,3.417399144,2.67E-06
4385.964912,3.41739774,2.67E-06
4389.815628,3.417396339,2.67E-06
4393.673111,3.417394938,2.67E-06
4397.537379,3.417393538,2.67E-06
4401.408451,3.41739214,2.67E-06
4405.286344,3.417390743,2.67E-06
4409.171076,3.417389347,2.67E-06
4413.062665,3.417387953,2.67E-06
4416.961131,3.41738656,2.67E-06
4420.86649,3.417385168,2.67E-06
4424.778761,3.417383777,2.67E-06
4428.697963,3.417382387,2.67E-06
4432.624113,3.417380999,2.67E-06
4436.557232,3.417379612,2.67E-06
4440.497336,3.417378226,2.67E-06
4444.444444,3.417376842,2.67E-06
4448.398577,3.417375458,2.67E-06
4452.359751,3.417374076,2.67E-06
4456.327986,3.417372696,2.67E-06
4460.303301,3.417371316,2.67E-06
4464.285714,3.417369938,2.67E-06
4468.275246,3.417368561,2.67E-06
4472.271914,3.417367185,2.67E-06
4476.275739,3.41736581,2.67E-06
4480.286738,3.417364437,2.67E-06
4484.304933,3.417363065,2.67E-06
4488.330341,3.417361694,2.67E-06
4492.362983,3.417360324,2.67E-06
4496.402878,3.417358956,2.67E-06
4500.450045,3.417357589,2.67E-06
4504.504505,3.417356223,2.67E-06
4508.566276,3.417354858,2.67E-06
4512.635379,3.417353495,2.67E-06
4516.711834,3.417352133,2.67E-06
4520.79566,3.417350772,2.67E-06
4524.886878,3.417349412,2.67E-06
4528.985507,3.417348054,2.67E-06
4533.091568,3.417346697,2.67E-06
4537.205082,3.417345341,2.67E-06
4541.326067,3.417343986,2.67E-06
4545.454545,3.417342633,2.67E-06
4549.590537,3.417341281,2.67E-06
4553.734062,3.41733993,2.67E-06
4557.885141,3.41733858,2.67E-06
4562.043796,3.417337232,2.67E-06
4566.210046,3.417335885,2.67E-06
4570.383912,3.417334539,2.67E-06
4574.565416,3.417333194,2.67E-06
4578.754579,3.41733185,2.67E-06
4582.951421,3.417330508,2.67E-06
4587.155963,3.417329167,2.67E-06
4591.368228,3.417327827,2.67E-06
4595.588235,3.417326489,2.67E-06
4599.816007,3.417325152,2.67E-06
4604.051565,3.417323816,2.67E-06
4608.294931,3.417322481,2.67E-06
4612.546125,3.417321147,2.67E-06
4616.805171,3.417319815,2.67E-06
4621.072089,3.417318484,2.67E-06
4625.346901,3.417317154,2.67E-06
4629.62963,3.417315826,2.67E-06
4633.920297,3.417314499,2.67E-06
4638.218924,3.417313173,2.67E-06
4642.525534,3.417311848,2.67E-06
4646.840149,3.417310524,2.67E-06
4651.162791,3.417309202,2.67E-06
4655.493482,3.417307881,2.67E-06
4659.832246,3.417306561,2.67E-06
4664.179104,3.417305242,2.67E-06
4668.53408,3.417303925,2.67E-06
4672.897196,3.417302609,2.67E-06
4677.268475,3.417301294,2.67E-06
4681.64794,3.41729998,2.67E-06
4686.035614,3.417298668,2.67E-06
4690.43152,3.417297357,2.67E-06
4694.835681,3.417296047,2.67E-06
4699.24812,3.417294738,2.67E-06
4703.668862,3.417293431,2.67E-06
4708.097928,3.417292125,2.67E-06
4712.535344,3.41729082,2.67E-06
4716.981132,3.417289516,2.67E-06
4721.435316,3.417288214,2.67E-06
4725.897921,3.417286913,2.67E-06
4730.368969,3.417285613,2.67E-06
4734.848485,3.417284314,2.67E-06
4739.336493,3.417283016,2.67E-06
4743.833017,3.41728172,2.67E-06
4748.338082,3.417280425,2.67E-06
4752.851711,3.417279131,2.67E-06
4757.37393,3.417277839,2.67E-06
4761.904762,3.417276548,2.67E-06
4766.444233,3.417275258,2.67E-06
4770.992366,3.417273969,2.67E-06
4775.549188,3.417272681,2.67E-06
4780.114723,3.417271395,2.67E-06
4784.688995,3.41727011,2.67E-06
4789.272031,3.417268826,2.67E-06
4793.863854,3.417267544,2.67E-06
4798.464491,3.417266262,2.67E-06
4803.073967,3.417264982,2.67E-06
4807.692308,3.417263704,2.67E-06
4812.319538,3.417262426,2.67E-06
4816.955684,3.41726115,2.67E-06
4821.600771,3.417259874,2.67E-06
4826.254826,3.417258601,2.67E-06
4830.917874,3.417257328,2.67E-06
4835.589942,3.417256057,2.67E-06
4840.271055,3.417254786,2.67E-06
4844.96124,3.417253518,2.67E-06
4849.660524,3.41725225,2.67E-06
4854.368932,3.417250983,2.67E-06
4859.086492,3.417249718,2.67E-06
4863.81323,3.417248454,2.67E-06
4868.549172,3.417247192,2.67E-06
4873.294347,3.41724593,2.67E-06
4878.04878,3.41724467,2.67E-06
4882.8125,3.417243411,2.67E-06
4887.585533,3.417242153,2.67E-06
4892.367906,3.417240897,2.67E-06
4897.159647,3.417239642,2.67E-06
4901.960784,3.417238388,2.67E-06
4906.771344,3.417237135,2.67E-06
4911.591356,3.417235883,2.67E-06
4916.420846,3.417234633,2.67E-06
4921.259843,3.417233384,2.67E-06
